date,open,high,low,close,volume
2024-10-08,243.56,246.21,240.56,244.5,56303200
2024-10-09,243.82,247.43,239.51,241.05,66289529
2024-10-10,241.81,242.79,232.34,238.77,83087100
2024-10-11,220.13,223.34,214.38,217.8,142628900
2024-10-14,220.13,221.91,213.74,219.16,86291923
2024-10-15,220.01,224.26,217.12,219.57,62988800
2024-10-16,221.4,222.82,218.93,221.33,49632824
2024-10-17,221.59,222.08,217.9,220.89,50791800
2024-10-18,220.71,222.28,219.23,220.7,49611900
2024-10-21,218.9,220.48,215.73,218.85,47329000
2024-10-22,217.31,218.22,215.26,217.97,43268741
2024-10-23,217.13,218.72,212.11,213.65,80938900
2024-10-24,244.68,262.12,242.65,260.48,204491903
2024-10-25,256.01,269.49,255.32,269.19,161611931
2024-10-28,270.0,273.54,262.24,262.51,107653603
2024-10-29,264.51,264.98,255.51,259.52,80521800
2024-10-30,258.04,263.35,255.82,257.55,53993600
2024-10-31,257.99,259.75,249.25,249.85,66575300
2024-11-01,252.04,254.0,246.63,248.98,57544800
2024-11-04,244.56,248.9,238.88,242.84,68802400
2024-11-05,247.34,255.28,246.21,251.44,69282505
2024-11-06,284.67,289.59,275.62,288.53,165228710
2024-11-07,288.89,299.75,285.52,296.91,117309232
2024-11-08,299.14,328.71,297.66,321.22,204782800
2024-11-11,346.3,358.64,336.0,350.0,210521625
2024-11-12,342.74,345.84,323.31,328.49,155726016
2024-11-13,335.85,344.6,322.5,330.24,125405600
2024-11-14,327.69,329.98,310.37,311.18,120726109
2024-11-15,310.57,324.68,309.22,320.72,114440300
2024-11-18,340.73,348.55,330.01,338.74,126547500
2024-11-19,335.76,347.38,332.75,346.0,88852500
2024-11-20,345.0,346.6,334.3,342.03,66340700
2024-11-21,343.81,347.99,335.28,339.64,58011719
2024-11-22,341.09,361.53,337.7,352.56,89140722
2024-11-25,360.14,361.93,338.2,338.59,95890900
2024-11-26,341.0,346.96,335.66,338.23,62295900
2024-11-27,341.8,342.55,326.59,332.89,57896439
2024-11-29,336.08,345.45,334.65,345.16,37167621
2024-12-02,352.38,360.0,351.15,357.09,77986500
2024-12-03,351.8,355.69,348.2,351.42,58267200
2024-12-04,353.0,358.1,348.6,357.93,50810900
2024-12-05,359.87,375.43,359.5,369.49,81403600
2024-12-06,377.42,389.49,370.8,389.22,81455834
2024-12-09,397.61,404.8,378.01,389.79,96359200
2024-12-10,392.68,409.73,390.85,400.99,97563600
2024-12-11,409.7,424.88,402.38,424.77,104287600
2024-12-12,424.84,429.3,415.0,418.1,87752225
2024-12-13,420.0,436.3,415.71,436.23,89000200
2024-12-16,441.09,463.19,436.15,463.02,114083811
2024-12-17,475.9,483.99,457.51,479.86,131223000
2024-12-18,466.5,488.54,427.01,440.13,149340800
2024-12-19,451.88,456.36,420.02,436.17,118566146
2024-12-20,425.51,447.08,417.64,421.06,132216200
2024-12-23,431.0,434.51,415.41,430.6,72698100
2024-12-24,435.9,462.78,435.14,462.28,59551800
2024-12-26,465.16,465.33,451.02,454.13,76651210
2024-12-27,449.52,450.0,426.5,431.66,82666821
2024-12-30,419.4,427.0,415.75,417.41,64941012
2024-12-31,423.79,427.93,402.54,403.84,76825121
